w1,w2,paraphrase
bedside,light,light used near a bedside
bedside,light,light placed near a bedside
bedside,light,light found near a bedside
bedside,light,light located near a bedside
bedside,light,light kept near a bedside
bedside,light,light on a bedside table
bedside,light,light attached to the bedside
bedside,light,light attached to a bedside
breakfast,coffee,coffee for breakfast
breakfast,coffee,coffee at breakfast
breakfast,coffee,coffee drank at breakfast
breakfast,coffee,coffee consumed at breakfast
breakfast,coffee,coffee served at breakfast
breakfast,coffee,coffee one drinks at breakfast
breakfast,coffee,coffee provided at breakfast
breakfast,coffee,coffee drunk during breakfast
breakfast,coffee,coffee consumed during breakfast
breakfast,coffee,coffee served during breakfast
breakfast,coffee,coffee one drinks during breakfast
breakfast,coffee,coffee provided during breakfast
breakfast,coffee,coffee at breakfast time
breakfast,coffee,coffee drank at breakfast time
breakfast,coffee,coffee consumed at breakfast time
breakfast,coffee,coffee served at breakfast time
breakfast,coffee,coffee one drinks at breakfast time
breakfast,coffee,coffee provided at breakfast time
breakfast,coffee,coffee drunk with breakfast
breakfast,coffee,coffee consumed with breakfast
breakfast,coffee,coffee served with breakfast
breakfast,coffee,coffee one drinks with breakfast
breakfast,coffee,coffee provided with breakfast
breakfast,coffee,coffee had with breakfast
breakfast,coffee,coffee served along with breakfast
breakfast,coffee,coffee supplied with breakfast
breakfast,coffee,coffee served for breakfast
brewing,company,company that brews beer
brewing,company,company that brews beverages
brewing,company,company that brews alcohol
brewing,company,company that brews coffee
brewing,company,company brewing beer
brewing,company,company brewing beverages
brewing,company,company brewing alcohol
brewing,company,company brewing coffee
brewing,company,company specializing in brewing
brewing,company,company specializing in brewing beer
brewing,company,company specializing in brewing beverages
brewing,company,company specializing in brewing alcohol
brewing,company,company specializing in brewing coffee
brewing,company,company that does brewing
brewing,company,company that is brewing
brewing,company,company that runs a brewing business
brewing,company,company that owns a brewing business
brewing,company,company that engages in brewing
brewing,company,company that engages in brewing beer
brewing,company,company that engages in brewing beverages
brewing,company,company that engages in brewing alcohol
brewing,company,company that engages in brewing coffee
brewing,company,company whose business is brewing
brewing,company,company whose business is brewing beer
brewing,company,company whose business is brewing beverages
brewing,company,company whose business is brewing alcohol
brewing,company,company whose business is brewing coffee
building,stone,stone by that a building is made
building,stone,stone by that a building is built
building,stone,stone by that a building is constructed
building,stone,stone by that a building is produced
building,stone,stone for building something
building,stone,stone for constructing buildings
building,stone,stone for creating buildings
building,stone,stone for building buildings
building,stone,stone for making buildings
building,stone,stone used for building
building,stone,stone used for constructing buildings
building,stone,stone used for creating buildings
building,stone,stone used for building buildings
building,stone,stone used for making buildings
building,stone,stone used to construct a building
building,stone,stone used to create a building
building,stone,stone used to build a building
building,stone,stone used to make a building
building,stone,stone used to construct buildings
building,stone,stone used to create buildings
building,stone,stone used to build buildings
building,stone,stone used to make buildings
building,stone,stone suitable for building
building,stone,stone appropriate for building
building,stone,stone meant for building
building,stone,stone meant for constructing buildings
building,stone,stone meant for creating buildings
building,stone,stone meant for building buildings
building,stone,stone meant for making buildings
bus,conductor,conductor who collects fares and sells tickets on a bus
bus,conductor,conductor who collects fares on a bus
bus,conductor,conductor who sells tickets on a bus
bus,conductor,conductor who collects fares and sells tickets in a bus
bus,conductor,conductor who collects fares in a bus
bus,conductor,conductor who sells tickets in a bus
bus,conductor,conductor collecting fares and selling tickets on a bus
bus,conductor,conductor collecting fares on a bus
bus,conductor,conductor selling tickets on a bus
bus,conductor,conductor collecting fares and selling tickets on the bus
bus,conductor,conductor collecting fares on the bus
bus,conductor,conductor selling tickets on the bus
bus,conductor,conductor in a bus
bus,conductor,conductor on a bus
bus,conductor,conductor in the bus
bus,conductor,conductor on the bus
bus,conductor,conductor of a bus
bus,conductor,conductor of the bus
bus,conductor,conductor in charge of a bus
bus,conductor,conductor in charge of the bus
bus,conductor,conductor on duty in a bus
bus,conductor,conductor on duty in the bus
bus,conductor,conductor who works on a bus
bus,conductor,conductor who works on the bus
bus,conductor,conductor who works in a bus
bus,conductor,conductor who works in the bus
bus,conductor,conductor working in the bus
bus,conductor,conductor working on the bus
bus,conductor,conductor working in a bus
bus,conductor,conductor working on a bus
business,organisation,organisation formed for the purpose of conducting business
business,organisation,organisation formed for the purpose of doing business
business,organisation,organisation formed for conducting business
business,organisation,organisation formed for doing business
business,organisation,organisation formed to conduct business
business,organisation,organisation formed to do business
business,organisation,organisation for conducting business
business,organisation,organisation for doing business
business,organisation,organisation conduct business
business,organisation,organisation doing business
business,organisation,organisation handling business
business,organisation,organisation engaging in business
business,organisation,organisation dealing in business
business,organisation,organisation involved in business
business,organisation,organisation that engages in business
business,organisation,organisation that does business
business,organisation,organisation that conducts business
cabinet,reshuffle,reshuffle of a cabinet
cabinet,reshuffle,reshuffle of the cabinet
cabinet,reshuffle,reshuffle and appoint a new cabinet
cabinet,reshuffle,reshuffle and appointing a new cabinet
cabinet,reshuffle,reshuffle done on a cabinet
cabinet,reshuffle,reshuffle done on the cabinet
cabinet,reshuffle,reshuffle done to a cabinet
cabinet,reshuffle,reshuffle done to the cabinet
cabinet,reshuffle,reshuffle in a cabinet
cabinet,reshuffle,reshuffle in the cabinet
cabinet,reshuffle,reshuffle that changes a cabinet
cabinet,reshuffle,reshuffle that alters a cabinet
cabinet,reshuffle,reshuffle that changes the cabinet
cabinet,reshuffle,reshuffle that alters the cabinet
cabinet,reshuffle,reshuffle that happens every few years for a cabinet
cabinet,reshuffle,reshuffle that happens occasionally for a cabinet
cabinet,reshuffle,reshuffle that happens regularly for a cabinet
cabinet,reshuffle,reshuffle that occurs every few years for a cabinet
cabinet,reshuffle,reshuffle that occurs occasionally for a cabinet
cabinet,reshuffle,reshuffle that occurs regularly for a cabinet
cabinet,reshuffle,reshuffle that happens every few years on a cabinet
cabinet,reshuffle,reshuffle that happens occasionally on a cabinet
cabinet,reshuffle,reshuffle that happens regularly on a cabinet
cabinet,reshuffle,reshuffle that occurs every few years on a cabinet
cabinet,reshuffle,reshuffle that occurs occasionally on a cabinet
cabinet,reshuffle,reshuffle that occurs regularly on a cabinet
calculator,display,display of a calculator
calculator,display,display screen of a calculator
calculator,display,display on a calculator
calculator,display,display screen on a calculator
calculator,display,display seen on a calculator
calculator,display,display that shows numbers on a calculator
calculator,display,display that displays numbers on a calculator
calculator,display,display of the numbers in a calculator
calculator,display,display of the numbers on a calculator
calculator,display,display of the operations done in a calculator
calculator,display,display of the operations done on a calculator
calculator,display,display of the operations in a calculator
calculator,display,display of the operations on a calculator
calculator,display,display made for calculators
calculator,display,display meant for calculators
calculator,display,display available on calculator
calculator,display,display in a calculator
calculator,display,display that serves as the output of a calculator
calculator,display,display showing what is typed on a calculator
calculator,display,display showing calculator operations
calculator,display,display showing calculator input
calculator,display,display showing calculator output
cancer,death,death caused by cancer
cancer,death,death that was caused by cancer
cancer,death,death due to cancer
cancer,death,death that was due to cancer
cancer,death,death that occurs due to cancer
cancer,death,death that occured due to cancer
cancer,death,death that happens due to cancer
cancer,death,death that happened due to cancer
cancer,death,death because of cancer
cancer,death,death as a result of cancer
cancer,death,death that occurs because of cancer
cancer,death,death that occured because of cancer
cancer,death,death that happens because of cancer
cancer,death,death that happened because of cancer
cancer,death,death that occurs as a result of cancer
cancer,death,death that occured as a result of cancer
cancer,death,death that happens as a result of cancer
cancer,death,death that happened as a result of cancer
cancer,death,death by cancer
cancer,death,death from cancer
cancer,death,death brought on by cancer
cancer,death,death caused by having caner
cancer,death,death that was caused by having caner
cancer,death,death due to having caner
cancer,death,death that was due to having caner
cancer,death,death that occurs due to having caner
cancer,death,death that occured due to having caner
cancer,death,death that happens due to having caner
cancer,death,death that happened due to having caner
cancer,death,death because of having caner
cancer,death,death as a result of having caner
cancer,death,death that occurs because of having caner
cancer,death,death that occured because of having caner
cancer,death,death that happens because of having caner
cancer,death,death that happened because of having caner
cancer,death,death that occurs as a result of having caner
cancer,death,death that occured as a result of having caner
cancer,death,death that happens as a result of having caner
cancer,death,death that happened as a result of having caner
cancer,death,death by having caner
cancer,death,death from having caner
cancer,death,death brought on by having caner
car,accident,accident caused by a car
car,accident,accident caused by cars
car,accident,accident involving cars
car,accident,accident involving a car
car,accident,accident in that a car is involved
car,accident,accident in that a car was involved
car,accident,accident in that cars are involved
car,accident,accident in that cars were involved
car,accident,accident that involves a car collision
car,accident,accident that involves a car crash
car,accident,accident that involves one or more cars
car,accident,accident involving a car collision
car,accident,accident involving a car crash
car,accident,accident involving one or more cars
car,accident,accident where a car is involved
car,accident,accident where a car was involved
car,accident,accident where cars are involved
car,accident,accident where cars were involved
car,accident,accident brought about by a car
car,accident,accident brought about by cars
car,accident,accident due to the clashing of a car
car,accident,accident due to the clashing of cars
car,accident,accident due to a clashing of cars
car,accident,accident due to the collision of a car
car,accident,accident due to the collision of cars
car,accident,accident due to a collision of cars
car,accident,accident due to the crashing of a car
car,accident,accident due to the crashing of cars
car,accident,accident due to a crashing of cars
car,accident,accident due to a car crash
car,accident,accident that happened to a car
car,accident,accident that happens to a car
car,accident,accident that happened to cars
car,accident,accident that happens to cars
car,accident,accident where a car crashes
car,accident,accident where cars collide
car,accident,accident where cars crash
car,accident,accident where cars clash
car,accident,accident made by a car
car,accident,accident made by cars
car,accident,accident that happens while travelling by a car
car,accident,accident that happens while using a car
car,accident,accident that happens while driving a car
car,accident,accident that occurs while travelling by a car
car,accident,accident that occurs while using a car
car,accident,accident that occurs while driving a car
car,accident,accident that occurred to a car
car,accident,accident that occurrs to a car
car,accident,accident occuring to a car
car,accident,accident that occurred to cars
car,accident,accident that occurrs to cars
car,accident,accident occuring to cars
car,phone,phone specifically designed for a car
car,phone,phone designed for a car
car,phone,phone made for a car
car,phone,phone meant for a car
car,phone,phone designed to be installed in a car
car,phone,phone made to be installed in a car
car,phone,phone meant to be installed in a car
car,phone,phone designed to be attached to a car
car,phone,phone made to be attached to a car
car,phone,phone meant to be attached to a car
car,phone,phone designed for use in a car
car,phone,phone made for use in a car
car,phone,phone meant for use in a car
car,phone,phone in a car
car,phone,phone in the car
car,phone,phone used in a car
car,phone,phone used in the car
car,phone,phone attached to a car
car,phone,phone attached to the car
car,phone,phone installed in a car
car,phone,phone installed in the car
car,phone,phone found in a car
car,phone,phone found in the car
car,phone,phone located in a car
car,phone,phone located in the car
car,phone,phone to be used in the car
car,phone,phone to be used in a car
car,phone,phone that can be used in the car
car,phone,phone that can be used in a car
car,tyre,tyre of a car
car,tyre,tyre of the car
car,tyre,tyre for a car
car,tyre,tyre for the car
car,tyre,tyre designed for a car
car,tyre,tyre made for a car
car,tyre,tyre meant for a car
car,tyre,tyre produced for a car
car,tyre,tyre manufactured for a car
car,tyre,tyre designed for the car
car,tyre,tyre made for the car
car,tyre,tyre meant for the car
car,tyre,tyre produced for the car
car,tyre,tyre manufactured for the car
car,tyre,tyre designed for cars
car,tyre,tyre made for cars
car,tyre,tyre meant for cars
car,tyre,tyre produced for cars
car,tyre,tyre manufactured for cars
car,tyre,tyre fixed to a car
car,tyre,tyre fixed to the wheel of a car
car,tyre,tyre fixed to a car's wheel
car,tyre,tyre fastened to a car
car,tyre,tyre on a car
car,tyre,tyre on the car
car,tyre,tyre on that a car runs
car,tyre,tyre on that the car runs
car,tyre,tyre on that a car drives
car,tyre,tyre on that the car drives
car,tyre,tyre used by cars
car,tyre,tyre used on cars
car,tyre,tyre used by a car
car,tyre,tyre used on a car
car,tyre,tyre used by the car
car,tyre,tyre used on the car
care,assistant,assistant who looks after the care of another person
care,assistant,assistant who looks after the care of a disabled person
care,assistant,assistant who looks after the care of an elderly person
care,assistant,assistant who takes care of another person
care,assistant,assistant who takes care of a disabled person
care,assistant,assistant who takes care of an elderly person
care,assistant,assistant who takes care of another
care,assistant,assistant who takes care of the elderly
care,assistant,assistant who takes care of the disabled
care,assistant,assistant who looks after the care of anothter
care,assistant,assistant who looks after the care of the elderly
care,assistant,assistant who looks after the care of the disabled
care,assistant,assistant who provides care
care,assistant,assistant who provides care to another
care,assistant,assistant who provides care to the elderly
care,assistant,assistant who provides care to the disabled
care,assistant,assistant responsible for care
care,assistant,assistant responsible for the care of another
care,assistant,assistant responsible for the care of the elderly
care,assistant,assistant responsible for the care of the disabled
care,assistant,assistant that gives care to another
care,assistant,assistant that gives care to the elderly
care,assistant,assistant that gives care to the disabled
care,assistant,assistant for the care of another person
care,assistant,assistant for the care of an elderly person
care,assistant,assistant for the care of a disabled person
care,assistant,assistant for the care of another
care,assistant,assistant for the care of the elderly
care,assistant,assistant for the care of the disabled
care,assistant,assistant who aids with care
care,assistant,assistant who helps with care
care,assistant,assistant who aids with the care of another
care,assistant,assistant who helps with the care of another
care,assistant,assistant who aids with the care of the elderly
care,assistant,assistant who helps with the care of the elderly
care,assistant,assistant who aids with the care of the disabled
care,assistant,assistant who helps with the care of the disabled
care,assistant,assistant who is responsible for another's care
care,assistant,assistant who is responsible for the care of another
care,assistant,assistant who is responsible for the care of the elderly
care,assistant,assistant who is responsible for the care of the disabled
castle,gate,gate of a castle
castle,gate,gate in front of a castle
castle,gate,gate at the front of a castle
castle,gate,gate before entering a castle
castle,gate,gate before getting into a castle
castle,gate,gate passed through to enter a castle
castle,gate,gate for a castle
castle,gate,gate protecting a castle
castle,gate,gate leading to a castle
castle,gate,gate that leads to a castle
castle,gate,gate that protects a castle
castle,gate,gate that seals a castle
castle,gate,gate that guards a castle
castle,gate,gate allowing entrance into a castle
castle,gate,gate permitting entrance into a castle
castle,gate,gate admitting entrance into a castle
castle,gate,gate that allows entrance into a castle
castle,gate,gate that permits entrance into a castle
castle,gate,gate that admits entrance into a castle
castle,gate,gate that opens into a castle
catering,manager,manager in charge of catering
catering,manager,manager who is in charge of catering
catering,manager,manager responsible for catering
catering,manager,manager deputed for catering
catering,manager,manager who is responsible for catering
catering,manager,manager experienced in catering
catering,manager,manager specializing in catering
catering,manager,manager who makes decisions about catering
catering,manager,manager who manages catering
catering,manager,manager working in catering
catering,manager,manager employed in the catering field
catering,manager,manager employed in a catering job
catering,manager,manager employed for a catering job
catering,manager,manager employed to do catering
catering,manager,manager who works in catering
catering,manager,manager who works in the catering field
catering,manager,manager who works a catering job
census,record,record of the census
census,record,record of a census
census,record,record that enumerates census details
census,record,record that enumerates census data
census,record,record that enumerates a census
census,record,record that enumerates the census
census,record,record that details census data
census,record,record detailing census data
census,record,record that details a census
census,record,record detailing a census
census,record,record that details the census
census,record,record detailing the census
census,record,record that has census details
census,record,record that contains census details
census,record,record that has census data
census,record,record that contains census data
census,record,record prepared after taking a census
census,record,record created after taking a census
census,record,record made after taking a census
census,record,record produced after taking a census
chalk,drawing,drawing made with chalk
chalk,drawing,drawing done with chalk
chalk,drawing,drawing created with chalk
chalk,drawing,drawing drawn with chalk
chalk,drawing,drawing scribbled with chalk
chalk,drawing,drawing made with a chalk
chalk,drawing,drawing done with a chalk
chalk,drawing,drawing created with a chalk
chalk,drawing,drawing drawn with a chalk
chalk,drawing,drawing scribbled with a chalk
chalk,drawing,drawing in chalk
chalk,drawing,drawing done in chalk
chalk,drawing,drawing made in chalk
chalk,drawing,drawing created in chalk
chalk,drawing,drawing drawn in chalk
chalk,drawing,drawing scribbled in chalk
chalk,drawing,drawing done by using chalk
chalk,drawing,drawing made by using chalk
chalk,drawing,drawing created by using chalk
chalk,drawing,drawing drawn by using chalk
chalk,drawing,drawing scribbled by using chalk
chalk,drawing,drawing done by using a chalk
chalk,drawing,drawing made by using a chalk
chalk,drawing,drawing created by using a chalk
chalk,drawing,drawing drawn by using a chalk
chalk,drawing,drawing scribbled by using a chalk
chalk,drawing,drawing done using chalk
chalk,drawing,drawing made using chalk
chalk,drawing,drawing created using chalk
chalk,drawing,drawing drawn using chalk
chalk,drawing,drawing scribbled using chalk
chalk,drawing,drawing done using chalk as a medium
chalk,drawing,drawing made using chalk as a medium
chalk,drawing,drawing created using chalk as a medium
chalk,drawing,drawing drawn using chalk as a medium
chalk,drawing,drawing scribbled using chalk as a medium
class,party,party for the class
class,party,party for a class
class,party,party arranged by the class
class,party,party planned by the class
class,party,party attended by the class
class,party,party celebrated by the class
class,party,party thrown by the class
class,party,party arranged by a class
class,party,party planned by a class
class,party,party attended by a class
class,party,party celebrated by a class
class,party,party thrown by a class
class,party,party celebrated in class
class,party,party conducted for the class
class,party,party conducted for a class
class,party,party thrown for the class
class,party,party thrown for a class
class,party,party planned for the class
class,party,party planned for a class
class,party,party arranged for the class
class,party,party arranged for a class
class,party,party for the whole class
class,party,party that the whole class is invited to
class,party,party that the whole class celebrates
class,party,party that the whole class enjoys
class,party,party that the whole class plans
class,party,party that the whole class arranges
class,party,party that the whole class attends
class,party,party that a whole class is invited to
class,party,party that a whole class celebrates
class,party,party that a whole class enjoys
class,party,party that a whole class plans
class,party,party that a whole class arranges
class,party,party that a whole class attends
class,party,party meant for the class to enjoy
class,party,party meant for the class to celebrate
class,party,party meant only for the class
class,party,party meant only for a class
client,need,need of the client
client,need,need of a client
client,need,need that clients have
client,need,need that a client has
client,need,need that the client has
client,need,need based on the client
client,need,need based on a client
client,need,need expressed by the client
client,need,need expressed by a client
client,need,need communicated by the client
client,need,need communicated by a client
client,need,need asked for by the client
client,need,need asked for by a client
client,need,need attributed to the client
client,need,need attributed to a client
client,need,need that a client has asked for
client,need,need that the client has asked for
client,need,need to be fulfilled for a client
client,need,need to be fulfilled for the client
client,need,need to be met for a client
client,need,need to be met for the client
client,need,need to be satisfied for a client
client,need,need to be satisfied for the client
client,need,need that must be fulfilled for a client
client,need,need that must be fulfilled for the client
client,need,need that must be met for a client
client,need,need that must be met for the client
client,need,need that must be satisfied for a client
client,need,need that must be satisfied for the client
coal,consumption,consumption of coal
coal,consumption,amount of consumption of coal
coal,consumption,consumption due to the usage of coal
coal,consumption,consumption resulting from the usage of coal
coal,consumption,consumption level of coal
coal,consumption,level of consumption of coal
coal,consumption,consumption of coal for energy
coal,consumption,consumption level of coal for energy
coal,consumption,consumption of coal for power
coal,consumption,consumption level of coal for power
coal,consumption,consumption that utilizes coal for power
coal,consumption,consumption utilizing coal for power
coal,consumption,consumption that uses coal for power
coal,consumption,consumption using coal for power
coal,consumption,consumption that utilizes coal for energy
coal,consumption,consumption utilizing coal for energy
coal,consumption,consumption that uses coal for energy
coal,consumption,consumption using coal for energy
coal,industry,industry that produces coal
coal,industry,industry that refines coal
coal,industry,industry that mines coal
coal,industry,industry that sells coal
coal,industry,industry that produces coal products
coal,industry,industry that refines coal products
coal,industry,industry that sells coal products
coal,industry,industry producing coal
coal,industry,industry refining coal
coal,industry,industry mining coal
coal,industry,industry selling coal
coal,industry,industry that involves coal
coal,industry,industry involving coal
coal,industry,industry based on coal
coal,industry,industry responsible for coal production
coal,industry,industry responsible for coal refining
coal,industry,industry responsible for coal mining
coal,industry,industry responsible for coal sales
coal,industry,industry responsible for refining coal
coal,industry,industry responsible for mining coal
coal,industry,industry responsible for selling coal
coal,industry,industry responsible for refining coal products
coal,industry,industry responsible for selling coal products
coca,leaf,leaf of the coca plant
coca,leaf,leaf of a coca plant
coca,leaf,leaf from the coca plant
coca,leaf,leaf from a coca plant
coca,leaf,leaf of the coca tree
coca,leaf,leaf of a coca tree
coca,leaf,leaf from the coca tree
coca,leaf,leaf from a coca tree
coca,leaf,leaf of the coca plant from which cocaine is extracted
coca,leaf,leaf of the coca plant from which cocaine is made
coca,leaf,leaf of the coca plant from which cocaine is produced
coca,leaf,leaf of the coca plant used to make cocaine
coca,leaf,leaf of the coca plant used to produce cocaine
coca,leaf,leaf of the coca plant powdered to make drugs
coca,leaf,leaf of the coca plant powdered to create drugs
coca,leaf,leaf of the coca plant powdered to produce drugs
coca,leaf,leaf that belongs to the coca plant
coca,leaf,leaf belonging to the coca plant
coca,leaf,leaf that belongs to the coca tree
coca,leaf,leaf belonging to the coca tree
coca,leaf,leaf that comes from the coca plant
coca,leaf,leaf coming from the coca plant
coca,leaf,leaf that comes from the coca tree
coca,leaf,leaf coming from the coca tree
colour,illustration,illustration with colour
colour,illustration,illustration with colours
colour,illustration,illustration designed with colour
colour,illustration,illustration made with colour
colour,illustration,illustration created with colour
colour,illustration,illustration drawn with colour
colour,illustration,illustration produced with colour
colour,illustration,illustration designed with use of colour
colour,illustration,illustration made with use of colour
colour,illustration,illustration created with use of colour
colour,illustration,illustration drawn with use of colour
colour,illustration,illustration produced with use of colour
colour,illustration,illustration designed with colours
colour,illustration,illustration made with colours
colour,illustration,illustration created with colours
colour,illustration,illustration drawn with colours
colour,illustration,illustration produced with colours
colour,illustration,illustration designed with use of colours
colour,illustration,illustration made with use of colours
colour,illustration,illustration created with use of colours
colour,illustration,illustration drawn with use of colours
colour,illustration,illustration produced with use of colours
colour,illustration,illustration containing colour
colour,illustration,illustration having colour
colour,illustration,illustration using colour
colour,illustration,illustration containing colours
colour,illustration,illustration having colours
colour,illustration,illustration using colours
colour,illustration,illustration that contains colour
colour,illustration,illustration that has colour
colour,illustration,illustration that uses colour
colour,illustration,illustration that contains colours
colour,illustration,illustration that has colours
colour,illustration,illustration that uses colours
colour,illustration,illustration in colour
colour,illustration,illustration provided in colour
colour,illustration,illustration that uses colours
colour,illustration,illustration that contains colours
colour,illustration,illustration that makes use of colours
colour,illustration,illustration that makes use of colour
colour,illustration,illustration that makes use of different colours
colour,illustration,illustration that makes use of various colours
colour,illustration,illustration using colours
community,hospital,hospital of a community
community,hospital,hospital of the community
community,hospital,hospital for a community
community,hospital,hospital for the community
community,hospital,hospital meant for a community
community,hospital,hospital meant for the community
community,hospital,hospital built for a community
community,hospital,hospital built for the community
community,hospital,hospital made for a community
community,hospital,hospital made for the community
community,hospital,hospital created for a community
community,hospital,hospital created for the community
community,hospital,hospital constructed for a community
community,hospital,hospital constructed for the community
community,hospital,hospital built to facilitate treatment of the community
community,hospital,hospital built to facilitate treatment of a community
community,hospital,hospital built to treat a community
community,hospital,hospital built to treat the community
community,hospital,hospital made to facilitate treatment of the community
community,hospital,hospital made to facilitate treatment of a community
community,hospital,hospital made to treat a community
community,hospital,hospital made to treat the community
